1, kli1, spa manikir, koz3, 10 02.09.2023, OTKAZAO_KLIJENT, 200
2, kli1, spa manikir, koz1, 10 02.09.2023, OTKAZAO_KLIJENT, 200
3, kli1, spa manikir, koz2, 10 02.09.2023, IZVRŠEN, 2000
4, kli1, spa manikir, koz1, 15 02.09.2023, IZVRŠEN, 2000
5, kli1, spa manikir, koz3, 17 02.09.2023, OTKAZAO_KLIJENT, 200
6, kli1, spa manikir, koz3, 17 02.09.2023, IZVRŠEN, 1800
7, kli1, relaks masaža, koz1, 13 02.09.2023, OTKAZAO_SALON, 0
8, kli1, spa manikir, koz3, 17 03.09.2023, NIJE_SE_POJAVIO, 1800
9, maki, relaks masaža, koz1, 10 03.09.2023, IZVRŠEN, 2000
10, kli1, relaks masaža, koz1, 13 03.09.2023, IZVRŠEN, 2000
11, kli2, gel lak, koz3, 14 03.09.2023, OTKAZAO_SALON, 0
12, maki, spa pedikir, koz2, 14 03.09.2023, IZVRŠEN, 1600
13, kli2, francuski manikir, koz1, 18 03.09.2023, IZVRŠEN, 1500
14, maki, sportska masaža, koz2, 11 04.09.2023, OTKAZAO_KLIJENT, 250
15, kli2, gel lak, koz3, 10 04.09.2023, IZVRŠEN, 1600
16, maki, spa pedikir, koz2, 10 04.09.2023, IZVRŠEN, 1600
17, maki, francuski manikir, koz3, 16 04.09.2023, OTKAZAO_KLIJENT, 150
18, maki, sportska masaža, koz2, 12 04.09.2023, OTKAZAO_KLIJENT, 250
19, kli2, francuski manikir, koz2, 11 07.09.2023, OTKAZAO_KLIJENT, 150
20, maki, relaks masaža, koz2, 16 04.09.2023, IZVRŠEN, 2000
21, maki, sportska masaža, koz2, 19 08.09.2023, ZAKAZAN, 2500
22, maki, sportska masaža, koz2, 15 08.09.2023, OTKAZAO_KLIJENT, 225
23, maki, relaks masaža, koz1, 15 06.09.2023, ZAKAZAN, 1800
24, maki, sportska masaža, koz1, 19 04.09.2023, IZVRŠEN, 2250
25, kli2, spa pedikir, koz2, 16 05.09.2023, ZAKAZAN, 1600
26, kli2, relaks masaža, koz1, 18 09.09.2023, ZAKAZAN, 2000
27, kli1, francuski manikir, koz3, 14 07.09.2023, ZAKAZAN, 1350
28, maki, relaks masaža, koz1, 14 05.05.2025, ZAKAZAN, 1800
